participant_id,statement_id,vote_value
012Q2VQhLbkaBV69AXhDw7-963,0ezzf8s2zge2j51b-461,AGREE
012Q2VQhLbkaBV69AXhDw7-963,1b0z3nx39rbsv55p-116,AGREE
012Q2VQhLbkaBV69AXhDw7-963,2bc2nnuvy8n1utox-229,AGREE
012Q2VQhLbkaBV69AXhDw7-963,2z0ljch2vffqot8h-473,PASS
012Q2VQhLbkaBV69AXhDw7-963,3c9xqym52xg8p6be-235,AGREE
012Q2VQhLbkaBV69AXhDw7-963,4ivsolmlgses6m03-194,PASS
012Q2VQhLbkaBV69AXhDw7-963,4wsqt26q3xlrfcd6-198,AGREE
012Q2VQhLbkaBV69AXhDw7-963,53lc58drc11ertj5-8,AGREE
012Q2VQhLbkaBV69AXhDw7-963,5935a0l7253j2d54-20,PASS
012Q2VQhLbkaBV69AXhDw7-963,5iz31yrujoqw5dsk-412,AGREE
012Q2VQhLbkaBV69AXhDw7-963,64yfds0dji9kqdgb-631,AGREE
012Q2VQhLbkaBV69AXhDw7-963,69ugnekrcpprcjiw-321,AGREE
012Q2VQhLbkaBV69AXhDw7-963,750cehlxslg6mm1z-255,AGREE
012Q2VQhLbkaBV69AXhDw7-963,8cgn0t6dvwrb7f6f-512,AGREE
012Q2VQhLbkaBV69AXhDw7-963,9t84azytjxepq85j-6,AGREE
012Q2VQhLbkaBV69AXhDw7-963,a7tz0yncxll4zklo-29,PASS
012Q2VQhLbkaBV69AXhDw7-963,akhejla0gnzs43c5-190,AGREE
012Q2VQhLbkaBV69AXhDw7-963,bc2swsozctwjlsh3-458,AGREE
012Q2VQhLbkaBV69AXhDw7-963,chj755nf4zw9xa3k-16,AGREE
012Q2VQhLbkaBV69AXhDw7-963,cnbh6nqqb9lzs34j-807,PASS
012Q2VQhLbkaBV69AXhDw7-963,cvs4f8cgvyie6ivw-14,DISAGREE
012Q2VQhLbkaBV69AXhDw7-963,cw9yil8sa3idy3c7-860,AGREE
012Q2VQhLbkaBV69AXhDw7-963,e088o98bv78hu7f0-503,AGREE
012Q2VQhLbkaBV69AXhDw7-963,ef828xg8y72ivgly-501,AGREE
012Q2VQhLbkaBV69AXhDw7-963,fel6246hid25owf7-19,PASS
012Q2VQhLbkaBV69AXhDw7-963,foy4dd1vn8lfjdtv-443,AGREE
012Q2VQhLbkaBV69AXhDw7-963,glh62c9t199dxj37-491,PASS
012Q2VQhLbkaBV69AXhDw7-963,gzr7txcb48y1o4iz-300,PASS
012Q2VQhLbkaBV69AXhDw7-963,ie0rnujjq9k6re4q-232,AGREE
012Q2VQhLbkaBV69AXhDw7-963,imj70e3p15ahdbvz-283,AGREE
012Q2VQhLbkaBV69AXhDw7-963,ir4cowgzrixa11dp-32,AGREE
012Q2VQhLbkaBV69AXhDw7-963,jcns6g298cqk4lta-467,DISAGREE
012Q2VQhLbkaBV69AXhDw7-963,jegqtoamdvlnknd6-317,AGREE
012Q2VQhLbkaBV69AXhDw7-963,k36m8jvh7ujodck8-857,AGREE
012Q2VQhLbkaBV69AXhDw7-963,ly8ozcywd14ve92m-54,AGREE
012Q2VQhLbkaBV69AXhDw7-963,m0l2ljk4q5v7c6s5-580,AGREE
012Q2VQhLbkaBV69AXhDw7-963,mb5m9j98cwn2y8fv-228,AGREE
012Q2VQhLbkaBV69AXhDw7-963,mzsgippsfnkomv2x-199,AGREE
012Q2VQhLbkaBV69AXhDw7-963,nam148p0tvhhpbmy-44,AGREE
012Q2VQhLbkaBV69AXhDw7-963,ntrfzwkxxjve3dze-625,AGREE
012Q2VQhLbkaBV69AXhDw7-963,omtzzf8adf7pchcb-844,AGREE
012Q2VQhLbkaBV69AXhDw7-963,os9xtogn1w1ht7pz-83,PASS
012Q2VQhLbkaBV69AXhDw7-963,phr62gdswm31yiha-31,AGREE
012Q2VQhLbkaBV69AXhDw7-963,pht0hl9xpseimvih-9,AGREE
012Q2VQhLbkaBV69AXhDw7-963,pvs7hzioykl1cq99-15,DISAGREE
012Q2VQhLbkaBV69AXhDw7-963,sb5iqnf74t60ploz-466,AGREE
